location,sample date,Oxygen saturation,Dissolved silicates,Benzo(k)fluoranthene,Hexachlorobenzene,PAHs,Benzo(b)fluoranthene,beta-Hexaxchlorocyclohexane,Chlorodinine,Methoxychlor,Carbonates,Chemical Oxygen Demand (Mn),Anthracene,Boron,Cyanides,Chromium,Metolachlor,Endosulfan (alpha),Inorganic nitrogen,Pyrene,Heptachloroepoxide,Biochemical Oxygen,Berilium,"p,p-DDE",Sodium,AOX,Total organic carbon,Nitrates,PCB 118,"Benzo(g,h,i)perylene",Acenaphthylene,Total dissolved salts,Orthophosphate-phosphorus,Calcium,Macrozoobenthos,Benzo(a)anthracene,Total extractable matter,Nickel,Alachlor,Pentachlorobenzene,Dieldrin,Methylosmoline,Barium,Chemical Oxygen Demand (Cr),Benzo(a)pyrene,Phenanthrene,PCB 180,Anionic active surfactants,Chrysene,Mercury,gamma-Hexachlorocyclohexane,Manganese,PCB 101,Dissolved organic carbon,Cadmium,Trifluralin,Endrin,Sulfides,Nitrites,Sulphates,Selenium,Simazine,Total phosphorus,Endosulfan (beta),"1,2,4-Trichlorobenzene",Arsenic,Iron,alpha-Hexachlorocyclohexane,Silica (SiO2),Total dissolved phosphorus,Fecal coliforms,PCB 153,Fluorene,PCB 138,Heptachlor,Copper,Tetrachloromethane,PCB 52,Magnesium,Bicarbonates,Total hardness,Zinc,"p,p-DDT",Dissolved oxygen,"Indeno(1,2,3-c,d)pyrene",Fluoranthene,Fecal streptococci ,Ammonium,Aldrin,Isodrin,"p,p-DDD",Chlorides,Acenaphthene,Atrazine,AGOC-3A,PCB 28,Potassium,"1,2,3-Trichlorobenzene",Lead,Cesium,Total nitrogen,Aluminium,Organic nitrogen,Water temperature,Petroleum hydrocarbons,Naphthalene,Total coliforms
Achara,11-Oct-09,,6.98,,,,,,,,,0,,,,0.6,,,,,,1.2,,,,,,1.695,,,,184,0.1173,,,,,1.2,,,,,,6,,,,0.034,,,,0.06,,,0.3,,,,0.027,,,,0.16,,,1,0.17,,,,,,,,,2.8,,,,97.6,,5,,9.2,,,,0.031,,,,,,,,,,,0.5,,2.14,,0.387,17,0.03,,
Achara,19-Nov-09,,8.68,,,,,,,,,0,,,0.0025,3.8,,,,,,2.7,,,,,,1.779,,,,218,0.2282,,,,,3.5,,,,,,5,,,,0.034,,,,0.15,,,0.3,,,,0.024,,,,0.28,,,0.5,0.08,,,,,,,,,6.1,,,,109.8,,10,,11.5,,,,0.39,,,,,,,,,,,0.5,,2.8,,0.607,8,0.02,,
Achara,10-Dec-09,,,,,,,,,,,4.3,,,0.0025,,,,,,,2.7,,,,,,0.987,,,,159,0.0684,,,,,,,,,,,5,,,,,,,,,,,,,,,0.012,,,,0.11,,,,,,,,,,,,,,,,,122,,5,,11.8,,,,0.234,,,,,,,,,,,,,1.26,,0,6,0.013,,
Achara,16-Jan-10,,7.464,,,,,,,,,4.5,,,,0.5,,,1.457,,,2,,,,,,0.98762,,,,,0.2,31.5,,,,3.1,,,,,,7,,,,,,1,,,,,0.4,,,,0.01824,,,,0.24,,,0.5,,,,,,,,,,2.7,,,11.9,,,,,12.5,,,,0.451,,,,8.1,,,,,,,0.6,,1.82,,0.36,4,,,
Achara,11-Feb-10,,8.327,,,,,,,,,,,,,,,,1.178,,,,,,,,,1.08028,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,0.02736,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,1.33,,,,,,
Achara,20-Feb-10,,8.533,,,,,,,,,2.1,,,,0.3,,,0.811,,,1,,,,,,0.73676,,,,,0.1,31.1,,,,1.2,,,,,,5,,,,,,1,,,,,0.25,,,,0.01216,,,,0.12,,,0.5,,,,,,,,,,2.9,,,5.6,,,9,,14.3,,,,0.062,,,,6,,,,,,,0.5,,0.96,,0.15,5,,,
Achara,21-Feb-10,,8.073,,,,,,,,,,,,,,,,1.048,,,,,,,,,0.97406,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,0.01216,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,0.062,,,,,,,,,,,,,,,0.15,,,,
Achara,13-Mar-10,,16.833,,,,,,,,,,,,,,,,2.675,,,,,,,,,2.05208,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,0.09424,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,0.528,,,,,,,,,,,,,2.76,,,,,,
Achara,19-Mar-10,,9.2,,,,,,,,,2.6,,,,0.8,,,1.135,,,2.1,,,,,,1.09384,,,,,0.1,30.9,,,,2.6,,,,,,6,,,,,,1,,,,,0.25,,,,0.01824,,,,0.12,,,0.5,,,,,,,,,,4.5,,,4,,,9,,12,,,,0.023,,,,6.7,,,,,,,0.7,,1.48,,0.35,6,,,
Achara,31-Mar-10,,7.113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achara,07-Apr-10,,7.659,,,,,,,,,,,,,,,,1.037,,,,,,,,,1.00118,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,0.01216,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,0.023,,,,,,,,,,,,,1.57,,0.53,,,,
Achara,08-Apr-10,,,,,,,,,,,,,,,,,,1.214,,,,,,,,,1.12548,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,0.01824,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,1.59,,,,,,
Achara,10-Apr-10,,5.574,,,,,,,,,,,,,,,,1.742,,,,,,,,,1.69274,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,0.01824,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,0.031,,,,,,,,,,,,,2.52,,0.78,,,,
Achara,16-Apr-10,,8.111,,,,,,,,,2.6,,,,0.4,,,2.01,,,1.8,,,,,,1.65432,,,,,0.29,39.2,,,,2.4,,,,,,8,,,,,,1,,,,,0.25,,,,0.076,,,,0.29,,,0.5,,,,,,,,,,4.2,,,5.2,,,14,,10.2,,,,0.28,,,,10.3,,,,,,,0.5,,2.47,,0.46,11,,,
Achara,15-May-10,,6.084,,,,,,,,,,,,,,,,0.967,,,,,,,,,0.8249,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,0.04864,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,0.093,,,,,,,,,,,,,1.18,,,,,,
Achara,20-May-10,,6.57,,,,,,,,,5.2,,,,2.3,,,1.444,,,2.4,,,,,,1.12322,,,,,0.15,29.9,,,,6.3,,,,,,8,,,,,,1,,,,,0.25,,,,0.10336,,,,0.36,,,1.3,,,,,,,,,,56,,,4.5,,,41,,7.5,,,,0.218,,,,7.8,,,,,,,1.8,,1.89,,0.45,20,,,
Achara,17-Jun-10,,11.516,,,,,,,,,3.8,,,,0.6,,,1.153,,,2.9,,,,,,1.06672,,,,512,0.11,27.3,,,,1,,,,,,9,,,,,,1,,0.02,,,0.25,,,,0.03952,77.45,,,0.17,,,0.8,0.03,,,,,,,,,5.4,,,4.8,,,25,,8,,,,0.047,,,,5.4,,,,,,,1,,1.54,,0.39,18,,,
Achara,30-Jun-10,,,,,,,,,,,,,,,,,,0.885,,,,,,,,,0.85428,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,0.02432,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,0.006,,,,,,,,,,,,,1.4,,,,,,
Achara,08-Jul-10,,,,,,,,,,,,,,,,,,1.116,,,,,,,,,0.96954,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,0.0608,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,0.085,,,,,,,,,,,,,1.46,,,,,,
Achara,16-Jul-10,,9.759,,,,,,,,,4,,,2.986,0.3,,,2.013,,,2,,,,,,1.76958,,,,334,0.22,33.6,,,,1,,,,,,6,,,,0.047,,1,,,,,0.25,,,,0.15808,21.11,,,0.45,,,1.7,,,,,,,,,,3.7,,,4.5,,,12,,7.5,,,,0.085,,,,9.5,,,,,,,0.5,,2.71,,0.7,22,,,
Achara,07-Aug-10,,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achara,08-Aug-10,,15.652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achara,12-Aug-10,,8.006,,,,,,,,,6,,,,0.6,,,2.035,,,2.3,,,,,,1.82608,,,,,0.26,40.4,,,,1.1,,,,,,7.2,,,,,,1,,,,,0.25,,,,0.0456,,,,0.32,,,1.8,,,,,,,,,,3.5,,,4.6,,,12,,8.1,,,,0.163,,,,10.3,,,,,,,1.4,,2.8,,0.77,23,,,
Achara,18-Aug-10,,,,,,,,,,,,,,,,,,2.038,,,,,,,,,1.77636,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,0.16112,,,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,0.101,,,,,,,,,,,,,2.37,,,,,,
Achara,09-Sep-10,,8.623,,,,,,,,,,,,,,,,2.326,,,,,,,,,2.147,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,0.13984,,,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,0.039,,,,,,,,,,,,,2.97,,,,,,
Achara,17-Sep-10,,7.798,,,,,,,,,2.2,,,,0.3,,,2.316,,,2,,,,,,2.16508,,,,,0.27,37.3,,,,1.7,,,,,,5,,,,,,1,,,,,0.25,,,,0.04256,,,,0.82,,,1,,,,,,,,,,4.1,,,6,,,24,,9.8,,,,0.109,,,,11.9,,,,,,,0.9,,2.62,,0.3,15,,,
Achara,13-Oct-10,,9.271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achara,14-Oct-10,,8.806,,,,,,,,,,,,,,,,3.548,,,,,,,,,3.50978,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,0.0152,,,,0.69,,,,,,,,,,,,,,,,,,,,,,,,,0.023,,,,,,,,,,,,,5.67,,2.12,,,,
Achara,15-Oct-10,83.4,8.9,,,,,,,,,3.23,,,,1.06,,,1.763,,,0.32,,,,,,0.904,,,,541.2,0.09,47.15,,,,8.07,,,,,,71.28,,,,0.112,,0.053,0.05,0.008,,,1.08,,,,0.005,23.5,,,0.11,,,0.94,0.091,,5.518,,,,,,,8.86,0.025,,19.21,,,9.13,,7.89,,,,0.101,,,,128.2,,0.5,,,,,1.91,,2.16,,,16,0.34,,
Achara,16-Oct-10,,8.724,,,,,,,,,,,,,,,,3.759,,,,,,,,,3.73126,,,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,0.01216,,,,0.77,,,,,,,,,,,,,,,,,,,,,,,,,0.016,,,,,,,,,,,,,4.79,,1.03,,,,
Achara,22-Oct-10,,6.686,,,,,,,,,5,,,,0.8,,,1.618,,,2.8,,,,,,1.4464,,,,,0.14,42.7,,,,2.3,,,,,,10,,,,,,1,,,,,0.25,,,,0.02432,,,,0.17,,,1.5,,,,,,,,,,12.4,,,11,,,14,,10.3,,,,0.148,,,,15.2,,,,,,,1.3,,3.58,,1.96,13,,,
Achara,23-Oct-10,,6.363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achara,27-Oct-10,,6.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achara,13-Nov-10,,,,,,,,,,,,,,,,,,1.527,,,,,,,,,1.44188,,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,0.0304,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,0.054,,,,,,,,,,,,,,,,,,,
Achara,19-Nov-10,,,,,,,,,,,2.5,,,,,,,1.948,,,1.9,,,,,,1.80574,,,,,0.46,43.2,,,,,,,,,,6,,,,,,,,,,,0.25,,,,0.03344,,,,0.57,,,1.5,,,,,,,,,,3.1,,,6.2,,,12,,11.1,,,,0.109,,,,12.1,,,,,,,1,,2.43,,0.48,3,,,
Achara,10-Dec-10,,,,,,,,,,,,,,,,,,1.126,,,,,,,,,0.93112,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,0.03952,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,0.155,,,,,,,,,,,,,1.56,,,,,,
Achara,11-Dec-10,,,,,,,,,,,3.1,,,,,,,1.189,,,2.7,,,,,,1.01248,,,,,0.29,40.1,,,,,,,,,,9,,,,,,1,,,,,0.25,,,,0.02128,,,,0.31,,,0.5,,,,,,,,,,4.2,,,6,,,10,,11.4,,,,0.155,,,,9.2,,,,,,,1.3,,1.43,,0.24,4,,,
Achara,21-Jan-11,97.74,,,,,,,,,,2,,,0,15,,,,,,3.6,,,,,,1.11,,,,735,0.028,34.6,,,,3,,,,,,10,,,,0,,1,,0.31,,,0.5,,,,0.022,39.6,,,0.075,,,1,0.09,,,,,,,,,2.6,,,6.1,140.3,,6,,11.7,,,,0.105,,,,8.1,,,,,,,1,,1.43,,0,3,,,16
Achara,22-Jan-11,,8.38,,,,,,,,,2.2,,,,,,,,,,2.7,,,,,,1.14,,,,,0.075,,,,,,,,,,,8,,,,,,,,,,,,,,,0.017,,,,0.12,,,,,,,,,,,,,,,,,,,10,,11.4,,,,0.219,,,,,,,,,,,,,1.67,,0,4,,,
Achara,11-Feb-11,,7.41,,,,,,,,,2.6,,,,,,,,,,2.4,,,,,,1.14,,,,,0.061,,,,,,,,,,,8,,,,,,,,,,,0.5,,,,0.018,,,,0.056,,,1,,,,,,,,,,1.2,,,,,,4,,13,,,,0.216,,,,,,,,,,,1,,1.45,,0,5,,,
Achara,18-Feb-11,,7.15,,,,,,,,,2.2,,,,,,,,,,4.9,,,,,,1.1,,,,,0.063,31.5,,,,,,,,,,0,,,,,,1,,,,,0.5,,,,0.016,,,,0.157,,,1,,,,,,,,,,1.2,,,8,,,8,,14.4,,,,0.139,,,,17,,,,,,,1,,1.67,,0,1,,,
Achara,18-Mar-11,,7.92,,,,,,,,,2.9,,,,0,,,,,,3.4,,,,,,1,,,,,0.042,34.6,,,,1.2,,,,,,9,,,,,,1,,,,,0.5,,,,0.034,,,,0.102,,,1,,,,,,,,,,2.7,,,7.4,,,9,,12.3,,,,0.157,,,,8.7,,,,,,,0.6,,1.59,,0,7,,,
Achara,31-Mar-11,,9.29,,,,,,,,,1.8,,,,0,,,,,,3,,,,,,1.06,,,,,0.031,,,,,1.2,,,,,,0,,,,,,1,,,,,0.5,,,,0.01,,,,0.066,,,1,,,,,,,,,,1.2,,,,,,5,,12.58,,,,0.038,,,,,,,,,,,1,,1.29,,0,9,,,
Achara,16-Apr-11,,6.46,,,,,,,,,3,,,,0,,,,,,5.8,,,,,,1.33,,,,,0.174,42.5,,,,1.9,,,,,,9,,,,,,1,,,,,0.5,,,,0.058,,,,0.279,,,1,,,,,,,,,,7.3,,,9.8,,,12,,9.2,,,,0,,,,12.5,,,,,,,1.7,,1.69,,0,15,,,
Achara,22-Apr-11,,4.68,,,,,,,,,2.4,,,,,,,,,,1.9,,,,,,2.07,,,,,0.064,,,,,,,,,,,8,,,,,,,,,,,,,,,0.016,,,,0.11,,,,,,,,,,,,,,,,,,,8,,9.4,,,,0.028,,,,9.3,,,,,,,,,2.19,,0,15,,,
Achara,13-May-11,,5.92,,,,,,,,,2.6,,,,0,,,,,,4.2,,,,,,0.99,,,,,0.135,35.1,,,,2.5,,,,,,8,,,,,,0,,,,,0,,,,0.025,,,,0.276,,,0,,,,,,,,,,4.9,,,5.8,,,14,,7.4,,,,0.108,,,,,,,,,,,1.1,,1.17,,0,17,,,
Achara,27-May-11,90.47,8.5,,,,,,,,,2.1,,,,0,,,,,,4.4,,,,,,1.37,,,,423,0.152,,,,,0,,,,,,0,,,,,,0.07,,0,,,0,,,,0.056,,,,0.194,,,1.3,0.73,,,,,,,,,2.8,,,61.06,231.8,,3,,8.6,,,,0.073,,,,34.19,,,,,,,0.9,,1.72,,0,22,,,
Achara,11-Jun-11,,8.97,,,,,,,,,2.9,,,,0,,,,,,4.3,,,,,,1.49,,,,,0.089,33.8,,,,0,,,,,,8,,,,,,0,,,,,0,,,,0.005,,,,0.105,,,1.3,,,,,,,,,,1.9,,,8.1,,,10,,7.1,,,,0.076,,,,,,,,,,,0.3,,2.15,,0,23,,,
Achara,17-Jun-11,92.09,0,,,,,,,,,2.8,,,0,0,,,,,,5.5,,,,,,1.69,,,,398,0.196,31.3,2.1,,,16.9,,,,,,9,,,,0,,0,,0.068,,,0,,,,0.065,84.9,,,0.256,,,1.2,0.1,,,,,,,,,3.8,,,3.5,184.8,,6,,10.3,,,,0.041,,,,14.9,,,,,,,1,,2.21,,0,22,,,5.4
Achara,09-Jul-11,,5.99,,,,,,,,,3.2,,,,,,,,,,1.6,,,,,,0.21,,,,,0.13,,,,,,,,,,,11,,,,,,,,,,,,,,,0.021,,,,0.16,,,,,,,,,,,,,,,,,,,12,,7.9,,,,0.028,,,,,,,,,,,,,1,,0,23,,,
Achara,14-Jul-11,,0,,,,,,,,,2.6,,,,0,,,,,,4.2,,,,,,1.12,,,,,0.058,31.3,,,,16.9,,,,,,8,,,,,,0,,,,,0,,,,0.01,,,,0.11,,,1.2,,,,,,,,,,3.8,,,3.5,,,6,,9.8,,,,0,,,,7.3,,,,,,,1,,1.5,,0,23,,,
Achara,04-Aug-11,,3.82,,,,,,,,,3.2,,,,,,,,,,4.4,,,,,,0.87,,,,,0.138,,,,,,,,,,,10,,,,,,,,,,,,,,,0.036,,,,0.285,,,,,,,,,,,,,,,,,,,18,,6.6,,,,0.069,,,,,,,,,,,,,1.61,,0,25,,,
Achara,11-Aug-11,,2.24,,,,,,,,,1.7,,,,1.1,,,,,,3.5,,,,,,1.28,,,,,0.146,37,,,,1,,,,,,0,,,,,,0,,,,,0,,,,0.034,,,,0.174,,,2.4,,,,,,,,,,2,,,5.6,,,5,,9.4,,,,0.027,,,,10.4,,,,,,,1,,1.8,,0,25,,,
Achara,14-Sep-11,,,,,,,,,,,1.9,,,,0,,,,,,2,,,,,,1.03,,,,,0.061,32.1,,,,1.3,,,,,,0,,,,,,0,,,,,0,,,,0.011,,,,0.124,,,1.2,,,,,,,,,,3.9,,,5.2,,,14,,8.5,,,,0,,,,8.6,,,,,,,0.4,,1.25,,0,22,,,
Achara,28-Sep-11,80.9,6.35,,,,,,,,,2.1,,,,0,,,,,,1.7,,,28.4,,,0.91,,,,298,0.089,54.7,,,,0,,,,,,0,,,,0,,0.234,,0.037,,,0,,,,0.007,59.12,,,0.103,,,1.7,0.337,,,,49,,,,,9.2,,,12.3,169.4,3.81,10,,7.6,,,33,0,,,,36.1,,,,,3.9,,0.4,,1.28,,0,23,0,,2400
Achara,08-Oct-11,,1.58,,,,,,,,,2.9,,,,0,,,,,,5.9,,,,,,0.46,,,,,0.027,,,,,0,,,,,,11,,,,,,,,,,,0,,,,0.013,,,,0.062,,,2.2,,,,,,,,,,4.3,,,,,,5,,8.1,,,,0.078,,,,,,,,,,,1.1,,0,,0,18,,,
Achara,13-Oct-11,81.54,10.2,,,,,,,,,3.4,,,0,0,,,,,,1.7,,,,,,1.02,,,,422,0.085,28.4,,,,1.3,,,,,,10,,,,,,0,,,,,0,,,,0.014,46.5,,,0.148,,,1.8,,,,,,,,,,2.2,,,4.8,170.8,,15,,9.1,,,,0.097,,,,8.6,,,,,,,1.6,,1.47,,0,13,,,280
Achara,11-Nov-11,91.99,,,,,,,,,,2.2,,,,0,,,,,,3,,,,,,1.13,,,,295,0.05,41.1,,,,0,,,,,,0,,,,,,0,,0,,,0,,,,0.065,,,,0.094,,,0,0.35,,,,0.22,,,,,1.7,,,4.4,192.76,,3,,9.8,,,0.027,0.279,,,,9.9,,,,,,,0.5,,1.72,,0,12,,,2.7
Achara,26-Nov-11,,,,,,,,,,,4.3,,,,,,,,,,1.4,,,,,,1.45,,,,,0.146,,,,,,,,,,,13,,,,,,,,,,,,,,,0.026,,,,0.226,,,,,,,,,,,,,,,,,,,10,,11.5,,,,0.041,,,,,,,,,,,,,1.75,,0,11,,,
Achara,10-Dec-11,,,,,,,,,,,2.1,,,,0,,,,,,,,,,,,1.93,,,,,0.054,44.4,,,,0,,,,,,0,,,,,,0,,,,,0,,,,0.018,,,,0.08,,,1.4,,,,,,,,,,2.4,,,20.4,,,7,,11.7,,,,0.089,,,,11.6,,,,,,,2.5,,2.45,,0,1,,,
Achara,15-Dec-11,,,,,,,,,,,1.4,,,,,,,,,,2.2,,,,,,0.69,,,,,0.039,,,,,,,,,,,0,,,,,,,,,,,,,,,0.015,,,,0.07,,,,,,,,,,,,,,,,,,,5,,11.8,,,,0.053,,,,,,,,,,,,,0,,0,8,,,
Achara,20-Jan-12,,,,,,,,,,,2.1,,,2.155,1.5,,,,,,1.6,,,,,,1.12,,,,400,0.059,34.1,,,,0,,,,,,0,,,,0,,,0,0,,,0.25,,,,0.016,71.366,,,0.089,,,0,0.032,,9,,,,,,,5,,,4.8,,,5,0,11.8,,,,0.146,,,,8.5,,0,,,,,1.2,,1.65,,0.36,4,,,
Achara,21-Jan-12,,,,,,,,,,,2,,,,,,,,,,1.5,,,,,,0.89,,,,,0.053,,,,,,,,,,,0,,,,,,,,,,,,,,,0.016,,,,0.078,,,,,,,,,,,,,,,,,,,,,11.6,,,,0.131,,,,,,,,,,,,,1.45,,0.41,2,,,
